source,title,description,content,published_at,fetched_at,sentiment,sentiment_score,event_type,event_confidence,Date,index_close,ret_1d,ret_3d,ret_7d
Financial Post,Bragg Gaming Group Extends a Turnkey Solution Deal with Senator Group,"Multi-year partnership includes Bragg’s full turnkey solution with PAM, HUB, exclusive content, and Fuze™ player engagement tools TORONTO — Bragg Gaming Group ( NASDAQ: BRAG, TSX: BRAG) (“Bragg” or the “Company”) today announced it has extended a comprehensiv…","Multi-year partnership includes Braggs full turnkey solution with PAM, HUB, exclusive content, and Fuze player engagement tools
THIS CONTENT IS RESERVED FOR SUBSCRIBERS ONLY
Subscribe now to read t… [+8037 chars]",2026-02-04,2026-02-05T13:40:42.923435,positive,0.9448883533477784,Corporate,0.788960337638855,2026-02-04,25776.0,-0.00516756745616076,,
Globalresearch.ca,European Officials Accuse Von Der Leyen of Authoritarianism,"Apparently, Ursula von der Leyen’s work at the European Commission is no longer pleasing veteran European officials. Her erratic stance, often endorsing escalatory and dangerous positions, seems to pose serious risks to European stability. Von der Leyen has i…","Apparently, Ursula von der Leyen’s work at the European Commission is no longer pleasing veteran European officials. Her erratic stance, often endorsing escalatory and dangerous positions, seems to p… [+5539 chars]",2026-02-04,2026-02-05T13:40:42.923481,negative,0.877493679523468,Politics,0.7649102210998535,2026-02-04,25776.0,-0.00516756745616076,,
Yahoo Entertainment,Legacy Ridge Capital Management’s Investment Approach in Polaris (PII),"Legacy Ridge Capital Management, an investment management company, released its Q4 2025 investor letter. A copy of the letter can be downloaded here. The...","Legacy Ridge Capital Management, an investment management company, released its Q4 2025 investor letter. A copy of the letter can be downloaded here. The Partnership returned 7% net of a 1% performan… [+3216 chars]",2026-02-04,2026-02-05T13:40:42.923492,neutral,0.8832922577857971,Corporate,0.2511129975318908,2026-02-04,25776.0,-0.00516756745616076,,
Fair Observer,Dollar Milkshake Theory Is Still Useful,"In 2018, investment manager Brent Johnson introduced the Dollar Milkshake Theory to answer a big puzzle in modern economics: Why does the dollar grow stronger during crises, even when the US is printing money? Johnson argues that a strong US dollar (the straw…","In 2018, investment manager Brent Johnson introduced the Dollar Milkshake Theory to answer a big puzzle in modern economics: Why does the dollar grow stronger during crises, even when the US is print… [+15153 chars]",2026-02-04,2026-02-05T13:40:42.923499,neutral,0.7584060430526733,Monetary Policy,0.1952734440565109,2026-02-04,25776.0,-0.00516756745616076,,
Ibtimes.com.au,AMD CEO Lisa Su Confirms Valve's Steam Machine On Track for Early 2026 Shipping,"Advanced Micro Devices Inc. (AMD) CEO Dr. Lisa Su said Tuesday that Valve Corp. remains on schedule to begin shipping its long-awaited AMD-powered Steam Machine in the early months of 2026, providing the strongest third-party confirmation yet of the device's …","Advanced Micro Devices Inc. (AMD) CEO Dr. Lisa Su said Tuesday that Valve Corp. remains on schedule to begin shipping its long-awaited AMD-powered Steam Machine in the early months of 2026, providing… [+4602 chars]",2026-02-04,2026-02-05T13:40:42.923505,neutral,0.7536059617996216,Corporate,0.3575002253055572,2026-02-04,25776.0,-0.00516756745616076,,
GlobeNewswire,"Massive MIMO Market Report 2026: $50+ Bn Opportunities, Trends, Competitive Landscape, Strategies, and Forecasts, 2020-2025, 2025-2030F, 2035F","Key opportunities in the massive MIMO market include the rising deployment of 5G networks, increasing demand for high-capacity antenna arrays, growing smart city projects, and advancements in energy-efficient technologies. Regional manufacturing and innovatio…","Dublin, Feb. 04, 2026 (GLOBE NEWSWIRE) -- The ""Massive MIMO Market Report 2026"" has been added to ResearchAndMarkets.com's offering.
The global massive MIMO market is experiencing a substantial surg… [+4670 chars]",2026-02-04,2026-02-05T13:40:42.923512,neutral,0.8981022238731384,Global Trade,0.2708843350410461,2026-02-04,25776.0,-0.00516756745616076,,
Fair Observer,"The Politics of Cheapness: Japan’s Consumption-Tax Truce, the Yen’s Fragility and the Long Shadow of a Weaker Dollar","In politics, there are few ideas more seductive than cheapness. Not efficiency, not reform, not even growth — but the promise that tomorrow will cost less than today. Cheapness is democratic. It asks nothing of voters except gratitude. It allows leaders to ap…","In politics, there are few ideas more seductive than cheapness. Not efficiency, not reform, not even growth but the promise that tomorrow will cost less than today. Cheapness is democratic. It asks n… [+11754 chars]",2026-02-04,2026-02-05T13:40:42.923517,neutral,0.5019510984420776,Politics,0.9499187469482422,2026-02-04,25776.0,-0.00516756745616076,,
Cointelegraph,"Crypto investors prioritize infrastructure over DeFi, survey finds",A survey of 242 crypto investors and executives shows capital shifting toward infrastructure as IPO expectations cool and regulatory sentiment improves.,"A survey of senior crypto investors and executives suggests capital priorities are shifting away from decentralized finance (DeFi) and toward core infrastructure, as decision-makers focus on liquidit… [+2531 chars]",2026-02-04,2026-02-05T13:40:42.923537,neutral,0.8888905048370361,Corporate,0.2143810987472534,2026-02-04,25776.0,-0.00516756745616076,,
Yahoo Entertainment,"SharpLink Gaming announces corporate name change to Sharplink, Inc.","Sharplink, Inc. has officially changed its corporate name to Sharplink, Inc., effective February 3. The name change reflects the Company’s continued...","Sharplink, Inc. has officially changed its corporate name to Sharplink, Inc., effective February 3. The name change reflects the Companys continued evolution and broader strategic focus. The change w… [+541 chars]",2026-02-04,2026-02-05T13:40:42.923543,neutral,0.9166682362556458,Corporate,0.952597439289093,2026-02-04,25776.0,-0.00516756745616076,,
GlobeNewswire,"Smart Gas Meter Market Report 2026: $6.72 Bn Opportunities, Trends, Competitive Landscape, Strategies, and Forecasts, 2020-2025, 2025-2030F, 2035F","Key market opportunities for smart gas meters include rising demand for smart homes, adoption of ultrasonic and IoT-connected meters, and AI-based consumption forecasting. The expansion of cloud and AMI-based infrastructures enhances efficiency, while ongoing…","Dublin, Feb. 04, 2026 (GLOBE NEWSWIRE) -- The ""Smart Gas Meter Market Report 2026"" has been added to ResearchAndMarkets.com's offering.
The smart gas meter market has experienced significant growth … [+4045 chars]",2026-02-04,2026-02-05T13:40:42.923549,neutral,0.9014967083930968,Global Trade,0.3167387247085571,2026-02-04,25776.0,-0.00516756745616076,,
GlobeNewswire,FrankCrum Deepens Market Presence in the Southeast with Strategic Expansion in Georgia,"FrankCrum expands its sales presence in Georgia to meet growing demand for HR, payroll, and multi-state compliance expertise....","CLEARWATER, Fla., Feb. 04, 2026 (GLOBE NEWSWIRE) -- FrankCrum, a professional employer organization (PEO) with nearly 45 years of experience supporting small and mid-sized businesses, today announced… [+2831 chars]",2026-02-04,2026-02-05T13:40:42.923559,positive,0.840666651725769,Corporate,0.3917774558067322,2026-02-04,25776.0,-0.00516756745616076,,
The Conversation Africa,Sierra Leoneans who live off the sea don’t trust farmed fish – but wild fish are in decline,"Wild fish sustain life in Sierra Leone’s fishing towns, but declining stocks mean fish farming is needed. However, fishing communities distrust farmed fish.","At dawn in Tombo, one of Sierra Leone’s largest fishing towns, small-scale fishers begin landing fish from the sea. A portion of the catch is sold at the landing sites, while the rest is taken home t… [+6952 chars]",2026-02-04,2026-02-05T13:40:42.923565,neutral,0.8815469145774841,Economics,0.2746839225292206,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,"Jacobs price target raised by $4 at RBC Capital, here's why","See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923570,neutral,0.7940849661827087,Corporate,0.4148542582988739,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,"Dover price target raised by $15 at Morgan Stanley, here's why","See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923575,neutral,0.8336731791496277,Corporate,0.4340639114379883,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,Willis Lease signs ConstantThrust agreement with Nauru Airlines,"See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923580,positive,0.9216675758361816,Corporate,0.3862752318382263,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,"Gladstone Investment price target raised by $1 at Oppenheimer, here's why","See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923585,neutral,0.8193132877349854,Economics,0.2521951198577881,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,"Mercury Systems price target raised by $10 at RBC Capital, here's why","See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923590,neutral,0.7066407203674316,Global Trade,0.2736155390739441,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,"Hamilton Lane price target raised by $10 at Oppenheimer, here's why","See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923595,neutral,0.8231552243232727,Economics,0.3421964049339294,2026-02-04,25776.0,-0.00516756745616076,,
Forrester.com,Rules In The Agentic Shipyard: Desired Agents Must Twist-Lock,"Forward-looking companies aren’t necessarily choosing among AI agent vendor offerings — they’re building their own agentic frameworks in house. This has significant implications for CMOs, marketing teams, and vendors.","Over the past several months of conversations with digital asset management (DAM) customers, Ive noticed a pattern that should give both B2B marketing leaders and DAM vendors pause. AI agent adoption… [+5531 chars]",2026-02-04,2026-02-05T13:40:42.923600,neutral,0.9412171244621276,Global Trade,0.1979945003986358,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,Arko Corp. opens Handy Mart store featuring fas craves concept,"See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923605,neutral,0.8395691514015198,Corporate,0.804364025592804,2026-02-04,25776.0,-0.00516756745616076,,
The Times of India,Delhi world's most affordable city for international students: Report,"The report titled 'India's 155 Million Student Mandate', which was released on Wednesday, noted that Delhi has emerged as the ""world's most affordable student city, ranked first globally"". Mumbai ranks 11 while Bengaluru is at 15th place.","New Delhi: Delhi ranks first in a list of world's most-affordable city for international students, according to a report by Knight Frank, Deloitte India, and QS.The report titled 'India's 155 Million… [+2381 chars]",2026-02-04,2026-02-05T13:40:42.923610,positive,0.5427731871604919,Global Trade,0.2381698936223983,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,"PayPal price target lowered by $32 at RBC Capital, here's why","See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923616,neutral,0.8205359578132629,Corporate,0.3380544781684875,2026-02-04,25776.0,-0.00516756745616076,,
CBS News,Fort Lauderdale tightens alcohol restrictions within entertainment district,The Fort Lauderdale​ City Commission said it approved updated alcohol-related regulations within the city's Special Entertainment Districts.,"The Fort Lauderdale City Commission on Tuesday announced it approved updated alcohol-related regulations within the city's Special Entertainment Districts (SEDs).
The city commission said the move r… [+1503 chars]",2026-02-04,2026-02-05T13:40:42.923621,neutral,0.4880434572696686,Global Trade,0.194486066699028,2026-02-04,25776.0,-0.00516756745616076,,
The Times of India,Indian IT's Anthropic bloodbath; Fractal CEO interview,IT stocks fall amid fears that new AI tools from Anthropic could threaten jobs. This and more in today's ETtech Top 5.,"IT stocks fall amid fears that new AI tools from Anthropic could threaten jobs. This and more in today's ETtech Top 5.Also in the letter: Cosmix joins MaricoThe Moltbook scarePaytm vs PhonePe
Anthro… [+7506 chars]",2026-02-04,2026-02-05T13:40:42.923626,neutral,0.6926542520523071,Corporate,0.4367566108703613,2026-02-04,25776.0,-0.00516756745616076,,
Financial Post,The Hidden Revenue Drain in Hospitality–and How AI Robotics Is Finally Closing the Gap,"AUSTIN, Texas, Feb. 04, 2026 (GLOBE NEWSWIRE) — AINewsWire Editorial Coverage: In high-traffic venues such as stadiums, convention centers, airports and other live-event locations, staffing challenges have evolved into a direct constraint on revenue generatio…","Performance and Throughput Drive Adoption
The service robotics industry is experiencing a clear shift, with TechForce Robotics acting as one of the leaders. Early-stage AI robotics often emphasized … [+3976 chars]",2026-02-04,2026-02-05T13:40:42.923630,neutral,0.63291335105896,Global Trade,0.203763946890831,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,"Pentair price target lowered by $6 at Oppenheimer, here's why","See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923636,neutral,0.7871754765510559,Corporate,0.4284228682518005,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,Nature's Miracle enters formal settlement agreement with Megaphoton,"See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923644,positive,0.9172800779342652,Corporate,0.4444772601127624,2026-02-04,25776.0,-0.00516756745616076,,
Slashdot.org,"Euro zone inflation cools to 1.7% in January, flash data shows - CNBC","Euro zone inflation cools to 1.7% in January, flash data showsCNBC Eurozone Inflation Sinks Below ECB Target Ahead of Rate DecisionThe Wall Street Journal Eurozone inflation falls to 1.7% in JanuaryFinancial Times Morning Bid: Euro zone faces inflation hurdle…",The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.,2026-02-04,2026-02-05T13:40:42.923649,neutral,0.590562641620636,Inflation,0.6395103335380554,2026-02-04,25776.0,-0.00516756745616076,,
Common Dreams,Immigrants Delivered $14.5 Trillion Surplus to US Economy Over Last 30 Years: Report,"A groundbreaking new report released Tuesday details how immigrants in the United States over the last three decades have contributed a massive surplus to the nation's economy, resulting in a total of more than $14 trillion over that period due to the fact th…","A groundbreaking new report released Tuesday details how immigrants in the United States over the last three decades have contributed a massive surplus to the nation's economy, resulting in a total o… [+4083 chars]",2026-02-04,2026-02-05T13:40:42.923655,positive,0.446885347366333,Economics,0.9132589101791382,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,RenovoRx announces new clinical data on TAMP therapy platform,"See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923660,neutral,0.8613302111625671,Corporate,0.3985115587711334,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,Golden Sun Health Technology changes name to Golden Sun Technology Group,"See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923665,neutral,0.9254330396652222,Corporate,0.7466109395027161,2026-02-04,25776.0,-0.00516756745616076,,
Globalresearch.ca,Understanding BRICS Strategy to Develop Cuba,"Doing this would improve Cuba’s integration into the multipolar global economy and reap benefits from connectivity with BRICS help and China’s BRI’s investments.

Click here to read this article in Spanish/Español.
You can also read this article in other …
Th…","Doing this would improve Cuba’s integration into the multipolar global economy and reap benefits from connectivity with BRICS help and Chinas BRIs investments.
Click here to read this article in Spa… [+6920 chars]",2026-02-04,2026-02-05T13:40:42.923670,neutral,0.8103435039520264,Geopolitics,0.4866353273391723,2026-02-04,25776.0,-0.00516756745616076,,
BusinessLine,Justo RealFintech secures ₹770 crore residential mandates across Pune and MMR,"Justo RealFintech wins multiple residential sales mandates in Pune and MMR, with ₹770 crore inventory, boosting execution-led growth strategy in housing markets.","Justo RealFintech Limited, a mandate-led and tech-enabled real estate sales and execution platform, has secured multiple new residential sales mandates across Pune and the Mumbai Metropolitan Region … [+1803 chars]",2026-02-04,2026-02-05T13:40:42.923675,positive,0.8575606942176819,Inflation,0.2103005349636078,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,Biodexa Pharmaceuticals announces exclusive license with Otsuka Pharmaceutical,"See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923680,positive,0.73313969373703,Global Trade,0.4025428593158722,2026-02-04,25776.0,-0.00516756745616076,,
Thefly.com,CLPS approves share repurchase program,"See the rest of the story here.

legacy.thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and…","Earnings calls, analyst events, roadshows and more",2026-02-04,2026-02-05T13:40:42.923685,neutral,0.6050143241882324,Corporate,0.73130863904953,2026-02-04,25776.0,-0.00516756745616076,,
Decrypt,Morning Minute: Trump's Crypto Entanglements Threaten CLARITY Act Timeline,"World Liberty Financial's $500 million deal with the UAE is causing major backlash in Congress, with the Clarity Act caught in the crossfire.",Morning Minute is a daily newsletter written by Tyler Warner. The analysis and opinions expressed are his own and do not necessarily reflect those of Decrypt. Subscribe to the Morning Minute on Subst… [+5613 chars],2026-02-04,2026-02-05T13:40:42.923690,negative,0.5441084504127502,Politics,0.6996443271636963,2026-02-04,25776.0,-0.00516756745616076,,
Ambcrypto.com,"Dogecoin network activity hits 71,400 – But can DOGE price keep up?",Can demand absorb risk before volatility forces a reset for Dogecoin?,"Dogecoins on-chain activity accelerated sharply over the past week, with Active Addresses rising 36% to above 71,400, data showed.
The increase signaled renewed participation across the Dogecoin net… [+3991 chars]",2026-02-04,2026-02-05T13:40:42.923695,neutral,0.5001782178878784,Inflation,0.3357375562191009,2026-02-04,25776.0,-0.00516756745616076,,
Shtfplan.com,Iranian Gunboats Attempted To Stop U.S. Tanker In Critical Energy Chokepoint,"UK Maritime Trade Operations warned of a ""suspicious activity"" on Tuesday morning at the Strait of Hormuz, the world's most critical energy chokepoint, after numerous small armed boats attempted to stop a U.S. oil tanker.","This article was originally published by Tyler Durden at ZeroHedge. 
UK Maritime Trade Operations warned of a “suspicious activity” on Tuesday morning at the Strait of Hormuz, the world’s most criti… [+2432 chars]",2026-02-04,2026-02-05T13:40:42.923700,negative,0.8944874405860901,Geopolitics,0.5280517339706421,2026-02-04,25776.0,-0.00516756745616076,,
Oreilly.com,Beyond Pilot Purgatory,"The hard truth about AI scaling is that for most organizations, it isn’t happening. Despite billions in investment, a 2025 report from the MIT NANDA initiative reveals that 95% of enterprise generative AI pilots fail to deliver measurable business impact. Thi…","The hard truth about AI scaling is that for most organizations, it isn’t happening. Despite billions in investment, a 2025 report from the MIT NANDA initiative reveals that 95% of enterprise generati… [+13199 chars]",2026-02-04,2026-02-05T13:40:42.923705,neutral,0.9027796983718872,Geopolitics,0.2680462300777435,2026-02-04,25776.0,-0.00516756745616076,,
GlobeNewswire,Veru to Report Fiscal 2026 First Quarter Financial Results on February 11th,"MIAMI, FL, Feb. 04, 2026 (GLOBE NEWSWIRE) -- Veru Inc. (NASDAQ: VERU), a late clinical stage biopharmaceutical company focused on developing innovative medicines for the treatment of cardiometabolic and inflammatory diseases, today announced it will host a co…","MIAMI, FL, Feb. 04, 2026 (GLOBE NEWSWIRE) -- Veru Inc. (NASDAQ: VERU), a late clinical stage biopharmaceutical company focused on developing innovative medicines for the treatment of cardiometabolic … [+10168 chars]",2026-02-04,2026-02-05T13:40:42.923709,neutral,0.78748619556427,Corporate,0.7067593932151794,2026-02-04,25776.0,-0.00516756745616076,,
GlobeNewswire,"Local Entrepreneur Brings AtWork to Conroe Area, Connecting Talent with Opportunity","Staffing Services Now Available for Local Job Seekers and Businesses Through New Location Serving Conroe, The Woodlands and Greater Houston Area Staffing Services Now Available for Local Job Seekers and Businesses Through New Location Serving Conroe, The Wood…","CONROE, Texas, Feb. 04, 2026 (GLOBE NEWSWIRE) --  AtWork®, the nations leading staffing franchise for empowering job seekers and facilitating company growth, has opened its newest location in Conroe … [+3335 chars]",2026-02-04,2026-02-05T13:40:42.923714,neutral,0.5254290103912354,Economics,0.2485164850950241,2026-02-04,25776.0,-0.00516756745616076,,
Thelaziali.com,Romagnoli Doubtful for Juventus Clash as Lazio Director Plays Peacemaker With Lotito,"Lazio defender Alessio Romagnoli is only training partially ahead of Sunday’s big Serie A showdown against Juventus.The BackgroundThe Italian centre-back is set for an awkward return to the pitch, h...","Lazio defender Alessio Romagnoli is only training partially ahead of Sundays big Serie A showdown against Juventus.
The Italian centre-back is set for an awkward return to the pitch, having already … [+2030 chars]",2026-02-04,2026-02-05T13:40:42.923720,neutral,0.8260209560394287,Politics,0.5255538821220398,2026-02-04,25776.0,-0.00516756745616076,,
GlobeNewswire,"Kandal to Present Live, Answer Questions, at Skyline Signature Series™ on February 12, 2026, at 11:00 AM ET","Individual and institutional investors, advisors, and analysts are invited to attend Individual and institutional investors, advisors, and analysts are invited to attend","TA KHMAU, Cambodia, Feb. 04, 2026 (GLOBE NEWSWIRE) -- Kandal M Venture Limited (Nasdaq: FMFC) (Kandal or the Company), a contract manufacturer of affordable luxury leather goods with manufacturing op… [+3983 chars]",2026-02-04,2026-02-05T13:40:42.923728,neutral,0.9469574093818665,Corporate,0.4033218622207641,2026-02-04,25776.0,-0.00516756745616076,,
GlobeNewswire,"Biodexa Announces Exclusive License of Otsuka’s OPB-171775, a potent Phase 1 ready Molecular Glue for GIST","February 4, 2026  Biodexa Announces Exclusive License of Otsuka’s OPB-171775, a potent Phase 1 ready Molecular Glue for GIST  Novel Mechanism of Action...","February 4, 2026
Biodexa Announces Exclusive License of Otsukas OPB-171775, a potent Phase 1 ready Molecular Glue for GIST
Novel Mechanism of Action Shown to be Effective in TKI Resistant PDX Model… [+9386 chars]",2026-02-04,2026-02-05T13:40:42.923733,positive,0.863257110118866,Corporate,0.3876475691795349,2026-02-04,25776.0,-0.00516756745616076,,
GlobeNewswire,One and One Green Technologies Receives $17 Million Purchase Order from Japanese Supplier,"San Rafael, Bulacan, Philippines, Feb. 04, 2026 (GLOBE NEWSWIRE) -- One and One Green Technologies, Inc. (“One and One” or the “Company”) (NASDAQ: YDDL), currently the only Philippines-based recycler licensed to import and convert hazardous waste streams into…","San Rafael, Bulacan, Philippines, Feb. 04, 2026 (GLOBE NEWSWIRE) -- One and One Green Technologies, Inc. (One and One or the Company) (NASDAQ: YDDL), currently the only Philippines-based recycler lic… [+4061 chars]",2026-02-04,2026-02-05T13:40:42.923739,positive,0.8464944958686829,Global Trade,0.4945935308933258,2026-02-04,25776.0,-0.00516756745616076,,
Nintendo Life,Nintendo's Share Price Drops 11% Following Its Financial Release,"Investors be fickle.Nintendo released its latest financial report this week for Q3 of fiscal year 2026, confirming that the Switch 2 has sold 17.38 million units.Despite all of the numbers going up, investors have nevertheless flinched at immediate market con…","Image: Damien McFerran / Nintendo Life
Nintendo released its latest financial report this week for Q3 of fiscal year 2026, confirming that the Switch 2 has sold 17.38 million units.
Despite all of … [+1660 chars]",2026-02-04,2026-02-05T13:40:42.923744,negative,0.970240831375122,Corporate,0.2749051749706268,2026-02-04,25776.0,-0.00516756745616076,,
GlobeNewswire,ARKO Corp. Opens New Handy Mart Store Featuring its New fas craves Food Concept,"RICHMOND, Va., Feb. 04, 2026 (GLOBE NEWSWIRE) -- ARKO Corp. (Nasdaq: ARKO), a Fortune 500 company and one of the largest convenience store operators in the United States, is excited to announce the opening of its newest Handy Mart store featuring its new fas …","RICHMOND, Va., Feb. 04, 2026 (GLOBE NEWSWIRE) -- ARKO Corp. (Nasdaq: ARKO), a Fortune 500 company and one of the largest convenience store operators in the United States, is excited to announce the o… [+6053 chars]",2026-02-04,2026-02-05T13:40:42.923751,positive,0.4946623146533966,Corporate,0.9369516372680664,2026-02-04,25776.0,-0.00516756745616076,,
GlobeNewswire,The Hidden Revenue Drain in Hospitality—and How AI Robotics Is Finally Closing the Gap,"AUSTIN, Texas, Feb. 04, 2026 (GLOBE NEWSWIRE) -- AINewsWire Editorial Coverage
: In high-traffic venues such as stadiums, convention centers, airports and other live-event locations, staffing challenges have evolved into a direct constraint on revenue genera…","AUSTIN, Texas, Feb. 04, 2026 (GLOBE NEWSWIRE) -- AINewsWire Editorial Coverage
: In high-traffic venues such as stadiums, convention centers, airports and other live-event locations, staffing challe… [+19353 chars]",2026-02-04,2026-02-05T13:40:42.923756,neutral,0.6322847008705139,Global Trade,0.2032327950000763,2026-02-04,25776.0,-0.00516756745616076,,
GlobeNewswire,"APPlife Digital Solutions, Inc. Completes Major E-Commerce Platform Rebuild; Adds Over 50k New Skus To Catalog","APPlife Digital Solutions, Inc. Completes Major E-Commerce Platform Rebuild; Adds Over 50k New Skus To Catalog...","SANTA BARBARA, Calif., Feb. 04, 2026 (GLOBE NEWSWIRE) -- APPlife Digital Solutions, Inc. (OTCID: ALDS
) (""APPlife"" or ""the Company""), a business incubator and portfolio manager specializing in e-com… [+4963 chars]",2026-02-04,2026-02-05T13:40:42.923761,positive,0.9082196354866028,Corporate,0.5069062113761902,2026-02-04,25776.0,-0.00516756745616076,,
